id,sequence_no,speaker,text
TS_EC_Q3_FY2025_0001,1,Moderator,"Ladies and gentlemen, good day and welcome to the TCS Earnings Conference Call. As a reminder, all participant lines will be in the listen-only mode and there will be an opportunity for you to ask questions after the presentation concludes. Should you need assistance during the conference call, please signal an operator by pressing star, then zero on your touch-tone phone. Please note that this conference is being recorded. I now hand the conference over to Ms. Nehal Shah from the Investor Relations team at TCS. Thank you and over to you."
TS_EC_Q3_FY2025_0002,2,Nehal Shah,"Thank you, operator. Good evening, and welcome to TCS Earnings Call for Q3 FY'25. This call is being webcast through our website, and an archive, including the transcript, will be available on the website for the duration of this quarter. The financial statements, quarterly fact sheet and press releases are also available on our website. Our leadership team is present on this call to discuss our results. We have with us today Mr. K Krithivasan, Chief Executive Officer and Managing Director."
TS_EC_Q3_FY2025_0003,3,K Krithivasan,"Hi, good evening. Happy New Year to all of you."
TS_EC_Q3_FY2025_0004,4,Nehal Shah,"Mr. Samir Seksaria, Chief Financial Officer."
TS_EC_Q3_FY2025_0005,5,Samir Seksaria,"Hello, everyone."
TS_EC_Q3_FY2025_0006,6,Nehal Shah,"And Mr. Milind Lakkad, Chief HR Officer."
TS_EC_Q3_FY2025_0007,7,Milind Lakkad,"Hi, everyone. Happy New Year."
TS_EC_Q3_FY2025_0008,8,Nehal Shah,"Our management team will give a brief overview of the company's performance, followed by a Q&A session. As you are aware, we don't provide specific revenue or earnings guidance and anything said on this call, which reflects our outlook for the future, or which could be construed as a forward- looking statement must be reviewed in conjunction with the risks that the company faces. We have outlined this risk in the second slide of the quarterly fact sheet available on our website and e-mailed out to those who have subscribed on our mailing list. With that, I would like to turn the call over to Krithi."
TS_EC_Q3_FY2025_0009,9,K Krithivasan,"Thank you, Nehal. In Q3, our performance was consistent with the quarterly seasonality. Our revenues grew 4.5% year-on-year (YoY) in constant currency. Operating margin was at 24.5% and net margin was at 19.4%. The highlight of the quarter was our exceptionally strong and broad-based TCV at US$10.2 billion. North America TCV was at US$5.9 billion. BFSI TCV was at US$3.2 billion and consumer business accounted for US$1.3 billion. We achieved significant large deal wins across various markets and industries, resulting in a double-digit growth in TCV year-on-year. This performance is particularly noteworthy given the absence of any mega deal wins. Our strong deal pipeline and TCV gives us confidence as we look ahead. I will now invite Samir and Milind to go over different aspects of our performance during the quarter. I'll step in later to provide more color on the demand trends we are seeing in our business. Over to you, Samir."
TS_EC_Q3_FY2025_0010,10,Samir Seksaria,"Thank you, Krithi. Good day, everyone, and wishing all of you a great start to the New Year. In the third quarter of financial year '25, our revenue was ₹63,973 crores, which is a year-over-year growth of 5.6%. In dollar terms, the revenue was $7,539 million and a year-on-year growth of 3.6%. That translates to a constant currency growth of our revenues to 4.5%. Our Q3 operating margin was 24.5%, a sequential improvement of 40 basis points, despite headwinds on account of furloughs and Q3 seasonality, which was offset by operating efficiency through improvement in productivity, utilization and pyramid. Net income margin in Q3 was 19.4%, and our EPS grew 6.4% Y-o-Y. Our accounts receivable was at 74 days DSO in dollar terms. Net cash from operations was $1.54 billion, which is 105.3% of net income Free cash flows were at $1.45 billion and invested funds at the end of the period stood at $7.28 billion. Consistent with our capital allocation policy of returning substantial free cash flow back to our shareholders, the Board has recommended a dividend of ₹76 per share, which includes an interim dividend of ₹10 and a special dividend of ₹66 per share. Let me walk you through our segmental performance. Note, all growth numbers are in year-on-year constant currency terms unless otherwise mentioned. BFSI grew 0.9%. Consumer business group grew 1.1%. Life Sciences Healthcare declined 4.3%. Manufacturing grew 0.4%. Technology & Services declined 0.4%. Communication and Media declined 10.6%. Energy Resources and Utilities grew 3.4% and Regional Markets grew 40.9%."
